,bbox,id,maxDate,minDate,title,timePeriodsRange,area
20412,"-7.0, 36.0, -6.0, 37.0",herakleion,300,-330,Herakleion,"-330.0,300.0",
20413,"-6.0, 35.0, -5.0, 36.0",herakleios-porthmos,640,-550,Herakleios Porthmos,"-550.0,640.0",
20415,"-6.0, 35.0, -5.0, 36.0",tartessium-fretum,640,-550,Tartessium Fretum,"-550.0,640.0",
20416,"-6.0, 35.0, -5.0, 36.0",europae-fretum,640,-550,Europae Fretum,"-550.0,640.0",
20417,"-6.0, 35.0, -5.0, 36.0",hiberum-fretum,640,-550,Hiberum Fretum,"-550.0,640.0",
20418,"-6.0, 35.0, -5.0, 36.0",hispanum-fretum,640,-550,Hispanum Fretum,"-550.0,640.0",
20419,"-7.0, 37.0, -6.0, 38.0",herculis,300,-330,Herculis,"-330.0,300.0",
20420,"-5.996293, 37.382668, -5.996293, 37.382668",hispalis,640,-750,Hispalis,"-750.0,640.0",
20421,"-5.996293, 37.382668, -5.996293, 37.382668",col-romula,640,-750,Col. Romula,"-750.0,640.0",
20423,"-5.996293, 37.382668, -5.996293, 37.382668",hispalis-1,300,-30,Hispalis,"-30.0,300.0",
20424,"-7.0, 37.0, -6.0, 38.0",iberos,300,-330,Iberos,"-330.0,300.0",
20425,"-7.0, 37.0, -6.0, 38.0",luxia,300,-30,Luxia,"-30.0,300.0",
20432,"-5.978254, 37.518215, -5.978254, 37.518215",ilipa-magna,640,-330,Ilipa Magna,"-330.0,640.0",
20433,"-5.978254, 37.518215, -5.978254, 37.518215",ibylla,-330,-550,Ibylla,"-550.0,-330.0",
20434,"-5.978254, 37.518215, -5.978254, 37.518215",ilipa-ilia,300,-30,Ilipa Ilia,"-30.0,300.0",
20436,"-5.978254, 37.518215, -5.978254, 37.518215",ilipa,300,-30,Ilipa,"-30.0,300.0",
20437,"-6.0, 36.0, -5.0, 37.0",Ilipoula-M,300,-30,Ilipoula M.,"-30.0,300.0",
20456,"-5.447744, 36.129768, -5.447744, 36.129768",iulia-traducta,640,-30,Iulia Traducta,"-30.0,640.0",
20457,"-5.447744, 36.129768, -5.447744, 36.129768",iulia-ioza,300,-30,Iulia Ioza,"-30.0,300.0",
20458,"-5.447744, 36.129768, -5.447744, 36.129768",tingentera,300,-30,Tingentera,"-30.0,300.0",
20460,"-7.0, 36.0, -6.0, 37.0",iunonis,300,-330,Iunonis,"-330.0,300.0",
20461,"-7.0, 36.0, -6.0, 37.0",Iunonis-Pr,300,-330,Iunonis Pr.,"-330.0,300.0",
20465,"-6.0, 36.0, -5.0, 37.0",kaldouba,300,-30,Kaldouba,"-30.0,300.0",
20493,"-9.0, 40.0, -8.0, 41.0",luaron-akron,640,-550,Luaron Akron,"-550.0,640.0",
20497,"-7.0, 37.0, -6.0, 38.0",maenuba,300,-330,Maenuba,"-330.0,300.0",
20498,"-7.0, 37.0, -6.0, 38.0",maenuba,300,-30,Maenuba,"-30.0,300.0",
20501,"-7.0, 37.0, -6.0, 38.0",marmorarius-pagus,300,-30,Marmorarius Pagus,"-30.0,300.0",
20513,"-8.683817, 38.0007379, -8.6836507, 38.009689",mirobriga,640,-750,Mirobriga,"-750.0,640.0",
20514,"-8.683817, 38.0007379, -8.6836507, 38.009689",mirobriga-celtica,640,-750,Mirobriga Celtica,"-750.0,640.0",
20515,"-8.683817, 38.0007379, -8.6836507, 38.009689",municipium-flavium-mirobrigensium,640,-750,Municipium Flavium Mirobrigensium,"-750.0,640.0",
20535,"-7.0, 36.0, -6.0, 37.0",olbensis-pagus,300,-30,Olbensis Pagus,"-30.0,300.0",
20536,"-7.0, 36.0, -6.0, 37.0",Oleastrum-L,300,-330,Oleastrum L.,"-330.0,300.0",
20557,"-7.865225, 38.015604, -7.865225, 38.015604",pax-iulia,640,-330,Pax Iulia,"-330.0,640.0",
20558,"-7.865225, 38.015604, -7.865225, 38.015604",pax-augusta,640,-330,Pax Augusta,"-330.0,640.0",
20559,"-7.865225, 38.015604, -7.865225, 38.015604",col-pacensis,640,-330,Col. Pacensis,"-330.0,640.0",
20564,"-6.354394, 36.778761, -6.354394, 36.778761",phosphoros,300,-330,Phosphoros,"-330.0,300.0",
20565,"-6.354394, 36.778761, -6.354394, 36.778761",Lux-Dubia-T,300,-330,"Lux Dubia, T.","-330.0,300.0",
20566,"-6.354394, 36.778761, -6.354394, 36.778761",Iuno-T,300,-30,"Iuno, T.","-30.0,300.0",
20568,"-6.354394, 36.778761, -6.354394, 36.778761",to-phophorou-ieron,300,-30,to Phophorou ieron,"-30.0,300.0",
20590,"-5.0, 37.0, -4.0, 38.0",salsum,-30,-330,Salsum,"-330.0,-30.0",
20595,"-8.6774238, 39.2335206, -8.6774238, 39.2335206",scallabis,640,-750,Scallabis,"-750.0,640.0",
20596,"-8.6774238, 39.2335206, -8.6774238, 39.2335206",praesidium-iulium,640,-750,Praesidium Iulium,"-750.0,640.0",
20597,"-8.6774238, 39.2335206, -8.6774238, 39.2335206",col-scallabitana,640,-750,Col. Scallabitana,"-750.0,640.0",
20598,"-8.6774238, 39.2335206, -8.6774238, 39.2335206",col-scalabitana,640,-750,Col. Scalabitana,"-750.0,640.0",
20599,"-8.6774238, 39.2335206, -8.6774238, 39.2335206",name.2015-03-10.6442864655,300,-30,Scalabis,"-30.0,300.0",
20610,"-5.0, 37.0, -4.0, 38.0",singilia-barba,640,-30,Singilia Barba,"-30.0,640.0",
20611,"-5.0, 37.0, -4.0, 38.0",singili-barba,640,-30,Singili Barba,"-30.0,640.0",
20612,"-5.0, 37.0, -4.0, 38.0",barla,300,-30,Barla,"-30.0,300.0",
20613,"-6.0, 37.0, -5.0, 38.0",singilis,300,-30,Singilis,"-30.0,300.0",
20614,"-6.0, 37.0, -5.0, 38.0",silicense,-30,-330,Silicense,"-330.0,-30.0",
20616,"-10.0, 38.0, -9.0, 39.0",Tagrus-M,640,-550,Tagrus M.,"-550.0,640.0",
20617,"-10.0, 38.0, -9.0, 39.0",Sacer-M,640,-550,Sacer M.,"-550.0,640.0",
20622,"-7.0, 37.0, -6.0, 38.0",tartessos,-30,-750,Tartessos,"-750.0,-30.0",
20623,"-7.0, 37.0, -6.0, 38.0",tartessii,-30,-750,Tartessii,"-750.0,-30.0",
20627,"-8.281265, 39.445539, -8.281265, 39.445539",tubucci,300,-30,Tubucci,"-30.0,300.0",
20628,"-8.281265, 39.445539, -8.281265, 39.445539",tabucci,300,-30,Tabucci,"-30.0,300.0",
20629,"-8.281265, 39.445539, -8.281265, 39.445539",tacubis,300,-30,Tacubis,"-30.0,300.0",
20631,"-7.0, 39.0, -6.0, 40.0",turgaliensis-regionis-praefectura,300,-30,Turgaliensis Regionis Praefectura,"-30.0,300.0",
20646,"-7.0, 37.0, -6.0, 38.0",urius,640,-30,Urius,"-30.0,640.0",
20653,"-7.0, 39.0, -6.0, 40.0",vettones,640,-330,Vettones,"-330.0,640.0",
20654,"-7.0, 39.0, -6.0, 40.0",oua-c-ttones,300,-30,Ouettones,"-30.0,300.0",
20890,"-1.0, 38.0, 0.0, 39.0",ad-aras,300,-330,Ad Aras,"-330.0,300.0",
20891,"-4.0, 38.0, -3.0, 39.0",ad-aras,300,-330,Ad Aras,"-330.0,300.0",
20905,"-1.0, 38.0, 0.0, 39.0",ad-statuas,640,-30,Ad Statuas,"-30.0,640.0",
20911,"-4.086744, 37.591065, -4.086744, 37.591065",aiungi,300,-330,Aiungi,"-330.0,300.0",
20912,"-4.086744, 37.591065, -4.086744, 37.591065",respublica-aiungitanorum,300,-330,Respublica Aiungitanorum,"-330.0,300.0",
20913,"-4.086744, 37.591065, -4.086744, 37.591065",respublica-aiungitanrum,300,-330,Respublica Aiungitanrum,"-330.0,300.0",
20918,"-1.0, 38.0, 0.0, 39.0",alonis,300,-30,Alonis,"-30.0,300.0",
20920,"-5.0, 37.0, -4.0, 38.0",anticaria,640,-30,Anticaria,"-30.0,640.0",
20928,"-3.808119, 37.791929, -3.808119, 37.791929",aurgi,640,-330,Aurgi,"-330.0,640.0",
20929,"-3.808119, 37.791929, -3.808119, 37.791929",orongis,640,-330,Orongis,"-330.0,640.0",
20930,"-3.808119, 37.791929, -3.808119, 37.791929",auringis,640,-330,Auringis,"-330.0,640.0",
20933,"-3.774889, 38.095872, -3.774889, 38.095872",baecula,-30,-330,Baecula,"-330.0,-30.0",
20934,"-3.774889, 38.095872, -3.774889, 38.095872",baikor,-30,-330,Baikor,"-330.0,-30.0",
20936,"-3.774889, 38.095872, -3.774889, 38.095872",baikula,-30,-330,Baikula,"-330.0,-30.0",
20938,"2.0, 39.0, 5.0, 41.0",baliares,640,-550,Baliares,"-550.0,640.0",
20939,"2.0, 39.0, 5.0, 41.0",gymnesiae-inss-maior-et-minor,640,-550,Gymnesiae Inss. Maior et Minor,"-550.0,640.0",
20940,"2.0, 39.0, 5.0, 41.0",Gymnesiae-Inss,640,-550,Gymnesiae Inss.,"-550.0,640.0",
20943,"-3.0, 37.0, -2.0, 38.0",bastetania,640,-330,Bastetania,"-330.0,640.0",
20944,"-3.0, 37.0, -2.0, 38.0",bastetani,640,-330,Bastetani,"-330.0,640.0",
